ticker,WN1 Comdty,FV1 Comdty,TU1 Comdty,US1 Comdty
02/04/2014,22.3998,4.7622,1.8826,14.05
03/04/2014,22.5181,4.7629,1.8826,14.0837
04/04/2014,22.7155,4.7822,1.8847,14.1849
07/04/2014,22.8604,4.789,1.8856,14.2482
08/04/2014,22.9592,4.7908,1.8857,14.2777
09/04/2014,22.8538,4.7997,1.887,14.2482
10/04/2014,23.1702,4.813,1.8883,14.3833
11/04/2014,23.3021,4.8151,1.8882,14.4297
14/04/2014,23.2559,4.8072,1.8878,14.3917
15/04/2014,23.3814,4.8033,1.8875,14.434
16/04/2014,23.4078,4.7954,1.8871,14.4424
17/04/2014,23.124,4.7797,1.8861,14.3115
21/04/2014,23.0647,4.7822,1.8863,14.2862
22/04/2014,23.1702,4.7772,1.8857,14.3157
23/04/2014,23.3418,4.7858,1.8864,14.3875
24/04/2014,23.3682,4.785,1.8863,14.396
25/04/2014,23.4937,4.7876,1.8868,14.4509
28/04/2014,23.388,4.7897,1.8868,14.4213
29/04/2014,23.2296,4.7861,1.8863,14.3748
30/04/2014,23.4144,4.8001,1.8873,14.4509
01/05/2014,23.6787,4.8058,1.8876,14.5523
02/05/2014,23.8904,4.8004,1.887,14.62
05/05/2014,23.6655,4.8004,1.8871,14.5565
06/05/2014,23.8176,4.8001,1.887,14.6031
07/05/2014,23.6986,4.8087,1.8882,14.5946
08/05/2014,23.6589,4.8158,1.8887,14.62
09/05/2014,23.4871,4.8151,1.889,14.5608
12/05/2014,23.3616,4.8087,1.8885,14.5058
13/05/2014,23.5663,4.8176,1.889,14.5777
14/05/2014,23.9632,4.8305,1.8901,14.7342
15/05/2014,24.1619,4.8363,1.8904,14.8105
16/05/2014,24.1089,4.8341,1.8903,14.7893
19/05/2014,23.9169,4.8366,1.891,14.7258
20/05/2014,23.9632,4.8445,1.8913,14.7639
21/05/2014,23.7449,4.8406,1.8911,14.6877
22/05/2014,23.6853,4.8345,1.8906,14.6623
23/05/2014,23.8507,4.8409,1.8911,14.7215
27/05/2014,24.0361,4.8409,1.8908,14.7808
28/05/2014,24.4404,4.8542,1.8917,14.9545
29/05/2014,24.3409,4.8502,1.8917,14.9249
30/05/2014,24.3011,4.8477,1.8917,14.8994
02/06/2014,23.9699,4.8316,1.8906,14.7554
03/06/2014,23.6721,4.8244,1.8906,14.6242
04/06/2014,23.6324,4.823,1.8903,14.5988
05/06/2014,23.6986,4.8277,1.891,14.6327
06/06/2014,23.6787,4.8216,1.8903,14.6327
09/06/2014,23.6258,4.8144,1.8894,14.6115
10/06/2014,23.5267,4.8094,1.889,14.5735
11/06/2014,23.5267,4.8126,1.889,14.565
12/06/2014,23.8242,4.8209,1.8894,14.6835
13/06/2014,23.8176,4.813,1.8883,14.675
16/06/2014,23.8904,4.8112,1.8876,14.7004
17/06/2014,23.6258,4.7997,1.887,14.5819
18/06/2014,23.7845,4.8069,1.8873,14.6581
19/06/2014,23.7184,4.814,1.8883,14.6454
20/06/2014,23.397,4.8115,1.8885,14.777
23/06/2014,23.4102,4.8101,1.8885,14.7814
24/06/2014,23.6227,4.8158,1.8883,14.8724
25/06/2014,23.7623,4.8226,1.8892,14.9375
